browser_session_id	Referrer	LandingPage	SEARCH_TERM_FLAG	EXTERNAL_SEARCH_FLAG	INTERNAL_SEARCH_FLAG	Browser	OS	DayOfWeek	TimeofDay	TOS	NOP	Logged_in_status	ISP	QFF	CIS	SMARTPHONE	BRANDS	DEALS	PREPAID	RECHARGE	SIMCARD	NETWORK	BROADBAND	BUNDLE	HOMEPHONE	FIXEDLINE	PURCHASE_FLAG	geo_variable_region	device_details
0886170743306770-1364777743091	Google	PRODUCT	1	1	0	MSIE	Windows	0	11	2478	11	0	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	BUNDLE	OTHER	OTHER	1	Victoria	D
109019122319296-1365228154684	Google	HOME	1	1	0	Safari	Mac	5	17	15837	46	1	Optus Internet Pty Ltd	OTHER	OTHER	SMARTPHONE	BRANDS	DEALS	OTHER	OTHER	SIMCARD	OTHER	BROADBAND	OTHER	HOMEPHONE	OTHER	1	undefined	U
1168029471649313-1365053187307	OTHER	HOME	0	0	0	Firefox	Windows	3	16	591	15	1	OTHER	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	1	New South Wales	U
1175976004451513-1362238824887	OTHER	HOME	0	0	0	Chrome	Windows	1	12	1841985	55	1	Telstra Internet	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	PREPAID	OTHER	OTHER	OTHER	OTHER	OTHER	HOMEPHONE	OTHER	1	Victoria	U
1212835393380373-1364848484261	Google	PRODUCT	0	0	0	Chrome	Windows	0	12	825	5	0	Telstra Internet	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	1	New South Wales	D
1224710748315451-1365127523056	Google	HOME	1	1	0	MSIE	Windows	4	13	547	9	0	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	1	undefined	U
1297574720811098-1364886622438	OTHER	HOME	0	0	0	Chrome	Windows	1	18	450	8	0	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	1	New South Wales	U
1321549242400279-1365357399259	OPTUS	HOME	1	1	0	MSIE	Windows	0	4	1108	7	0	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	1	Victoria	U
1539629313144295-1364868119835	OPTUS	PRODUCT	0	0	0	MSIE	Windows	1	13	2982	20	0	iiNet Limited	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	1	Western Australia	D
1583901208359748-1364997307554	Google	HOME	0	0	0	Chrome	Windows	3	0	881	8	0	Optus Internet Pty Ltd	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	1	undefined	U
1683655430432000-1365112330414	OPTUS	PRODUCT	0	0	0	MSIE	Windows	4	8	4227	20	1	OTHER	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	BROADBAND	BUNDLE	OTHER	OTHER	1	New South Wales	D
1729714225511998-1365139623636	OTHER	HOME	0	0	0	Chrome	Windows	4	16	353	9	0	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	BROADBAND	OTHER	OTHER	OTHER	1	undefined	U
1745805831160396-1365336446988	OTHER	OTHER	0	1	0	Safari	Mac	6	23	1892	22	0	Primus Telecommunications	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	1	Victoria	M
1752835607621818-1365298300130	OTHER	HOME	0	0	0	Chrome	Windows	5	20	1044827	43	1	Telstra Internet	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	OTHER	OTHER	SIMCARD	OTHER	OTHER	OTHER	OTHER	OTHER	1	Western Australia	U
